capacity,demand_scenario,market_condition,replication,dp_revenue,dp_time,saa_revenue,saa_time,revenue_gap,num_eval_paths,eval_seed
3,low,budget,62,1279.7360409109212,20.996601,1270.0082902263882,36.557141065597534,0.7601372762471211,1000,62000
3,low,budget,63,1297.9714119038438,20.891987,1291.3980015336276,37.30938005447388,0.5064372227254511,1000,63000
3,low,budget,64,1335.0147783007228,20.950971,1322.650394406943,38.081711292266846,0.9261608256889785,1000,64000
3,low,budget,65,1294.076577904215,20.287255,1261.0026472289335,37.870521783828735,2.555793933682454,1000,65000
3,low,budget,66,1329.6039444276046,20.720684,1299.3849476963585,37.98652386665344,2.2727818203228467,1000,66000
3,low,budget,67,1285.6518509360676,20.167378,1254.2895992613358,37.89692306518555,2.43940469979469,1000,67000
3,low,budget,68,1275.469714117661,20.495275,1248.8818353109339,37.85019397735596,2.084555870863616,1000,68000
3,low,budget,69,1344.0439793474118,20.899707,1314.3890442827524,37.68927001953125,2.2063961834833776,1000,69000
3,low,budget,70,1316.490594619995,21.24991,1291.5319466774356,37.585315227508545,1.895847037917018,1000,70000
3,low,budget,71,1285.1944939193309,21.135848,1252.1872784274562,38.05531287193298,2.5682661766792787,1000,71000
3,low,budget,72,1285.151809600347,19.689951,1258.5643389731201,36.682605028152466,2.06881945219335,1000,72000
3,low,budget,73,1300.2713391532332,19.626788,1277.49487905315,36.18950915336609,1.751669779548911,1000,73000
3,low,budget,74,1274.5755930210246,19.49967,1246.6429952679334,36.15589714050293,2.1915214684822857,1000,74000
3,low,budget,75,1301.5645857556224,19.753871,1267.6402391715699,36.13598585128784,2.6064282138068275,1000,75000
3,low,budget,76,1304.2476841840598,19.495757,1274.5878557339483,36.959694147109985,2.2740947758451835,1000,76000
3,low,budget,77,1314.7660498038492,20.043031,1283.252681553746,36.582048177719116,2.3968802856450937,1000,77000
3,low,budget,78,1287.5860637391916,19.716978,1258.9967388189784,37.46884608268738,2.2203816680951647,1000,78000
3,low,budget,79,1295.7836205031642,19.785149,1281.3207303617376,37.982975006103516,1.1161500973295682,1000,79000
3,low,budget,80,1306.9416683996171,20.950571,1287.9765514344433,36.863194942474365,1.451106612003356,1000,80000
3,low,budget,81,1275.9176351131152,20.376302,1251.0266715889902,37.31287503242493,1.950828395119591,1000,81000
3,low,budget,82,1255.8661225261758,20.716381,1223.8141095060319,36.71575093269348,2.552183902824871,1000,82000
3,low,budget,83,1286.1148704299878,20.633574,1240.602892010611,37.07746624946594,3.5387179999062464,1000,83000
3,low,budget,84,1285.4134425529453,20.725702,1251.679578596211,36.95341515541077,2.624359045890775,1000,84000
3,low,budget,85,1306.7580087571198,21.242708,1293.9450700328032,36.58091497421265,0.9805135027642353,1000,85000
3,low,budget,86,1260.870722005061,20.877367,1225.733846309181,37.03778839111328,2.786715170926062,1000,86000
3,low,budget,87,1285.7007664207777,20.663254,1257.3490828548636,37.26518893241882,2.205154131224596,1000,87000
3,low,budget,88,1300.694443906524,20.309982,1263.4658194229987,36.10238170623779,2.8622113869966443,1000,88000
3,low,budget,89,1275.2875947802108,19.785243,1242.3774234969246,35.57774090766907,2.5806078109744424,1000,89000
3,low,budget,90,1297.1541936883689,20.409981,1281.0775424325168,36.22153663635254,1.2393785822901464,1000,90000
3,low,budget,91,1264.8381230836003,20.043417,1236.146757651303,35.863996744155884,2.2683824047261827,1000,91000
3,low,budget,92,1280.7836264304499,19.705886,1264.0142598910684,35.49240708351135,1.3093051935804187,1000,92000
3,low,budget,93,1256.3049939529478,19.79197,1237.6664747138536,35.46473503112793,1.4835982765974949,1000,93000
3,low,budget,94,1329.4534440976815,19.83083,1312.224836976421,37.4722318649292,1.2959165435803381,1000,94000
3,low,budget,95,1287.3852325051305,19.886619,1259.7860603793904,38.01884603500366,2.143816118818973,1000,95000
3,low,budget,96,1340.643424795401,22.09792,1313.9353336776746,36.89014291763306,1.9921845454023182,1000,96000
3,low,budget,97,1295.888316265497,21.946715,1267.7393869026312,36.464524030685425,2.1721724788742347,1000,97000
3,low,budget,98,1266.3992237582459,21.587962,1239.4960490578483,37.232754945755005,2.124383385245455,1000,98000
3,low,budget,99,1317.9871777089375,21.710862,1302.1240646228468,37.09697198867798,1.2035862984392247,1000,99000
3,low,standard,0,1851.138243737718,23.297443,1831.02267728211,36.8482129573822,1.0866593310174322,1000,0
3,low,standard,1,1853.8144583352425,24.154057,1831.9021521271186,36.68639826774597,1.1820118302347025,1000,1000
3,low,standard,2,1961.9423256868013,24.475584,1922.4042276923544,36.263957023620605,2.015252817414297,1000,2000
3,low,standard,3,1863.7211326807674,23.90857,1844.1078203956517,37.20741558074951,1.0523737667181965,1000,3000
3,low,standard,4,1836.873320557234,21.305383,1812.5493725377853,35.48853826522827,1.3242038929537991,1000,4000
3,low,standard,5,1806.8895312579098,21.023502,1777.7709267291493,35.39348125457764,1.6115320845590833,1000,5000
3,low,standard,6,1914.4263683128368,21.846026,1884.9581062616194,35.620312213897705,1.539273723919058,1000,6000
3,low,standard,7,1934.0168949708407,21.667267,1886.963250648908,35.95936822891235,2.432948980140228,1000,7000
3,low,standard,8,1868.6656480386432,22.011565,1830.1637163770683,35.755728244781494,2.0603970379605685,1000,8000
3,low,standard,9,1875.0963480856376,22.612462,1834.655952541481,35.94568705558777,2.156710271738512,1000,9000
3,low,standard,10,1929.1904209627521,22.673337,1906.0579131968136,36.352444887161255,1.1990785105803263,1000,10000
3,low,standard,11,1825.141945798356,21.462922,1810.3082640318985,36.58183407783508,0.8127412665412627,1000,11000
3,low,standard,12,1920.0962700135462,22.141617,1877.5120055291118,35.44400215148926,2.217819239039199,1000,12000
3,low,standard,13,1910.985576927764,22.408098,1879.9098939729342,35.46148896217346,1.6261599946133145,1000,13000
3,low,standard,14,1851.3796946770044,21.35205,1822.2783806367204,35.900259017944336,1.571871730253642,1000,14000
3,low,standard,15,1819.6717472324208,21.029091,1801.1383839265197,35.62803816795349,1.0185003605232017,1000,15000
3,low,standard,16,1926.615828056945,21.988429,1891.5107779368598,35.814515829086304,1.822109504596453,1000,16000
3,low,standard,17,1912.874043701045,22.267319,1876.1147604845446,35.999470233917236,1.9216781856362133,1000,17000
3,low,standard,18,1805.694303643861,21.349837,1783.804449604117,36.165204763412476,1.212267989967663,1000,18000
3,low,standard,19,1886.3776058198287,21.689403,1854.747135309234,36.902344942092896,1.676783609655287,1000,19000
3,low,standard,20,1922.2150657373518,22.004185,1898.8720602001438,36.53269696235657,1.2143805317774754,1000,20000
3,low,standard,21,1848.0006395505068,21.482682,1829.9820724439037,36.52320837974548,0.9750303501510574,1000,21000
3,low,standard,22,1907.838561820057,22.146071,1897.2747924545047,36.35711121559143,0.5537035248661013,1000,22000
3,low,standard,23,1862.1230493162689,21.593852,1816.018012550553,36.47514009475708,2.475939320048939,1000,23000
3,low,standard,24,1788.7197326033752,21.732126,1768.602443908543,36.114511013031006,1.124675281887384,1000,24000
3,low,standard,25,1878.4550888240497,21.810751,1865.6586178820826,36.58512496948242,0.6812231507742844,1000,25000
3,low,standard,26,1874.1532553847221,22.073019,1850.7225239636211,36.24313426017761,1.2502035974796075,1000,26000
3,low,standard,27,1863.8977666536753,22.089817,1853.6144445070393,37.27805185317993,0.5517106319140046,1000,27000
3,low,standard,28,1958.0731162761024,22.413317,1916.599386959742,35.405214071273804,2.118088899317291,1000,28000
3,low,standard,29,1854.6717715068535,21.514402,1842.3852262432702,35.45922517776489,0.6624646717732134,1000,29000
3,low,standard,30,1912.3336857523034,22.021949,1873.0051478668072,35.60536313056946,2.0565729808824926,1000,30000
3,low,standard,31,1784.335232472458,20.722721,1743.585059196635,35.420515060424805,2.283773392702542,1000,31000
3,low,standard,32,1975.4764762100367,22.734889,1925.838170234666,36.17591118812561,2.5127257435432537,1000,32000
3,low,standard,33,1899.2470367550418,22.291461,1869.5478587694556,35.92821192741394,1.5637343331770415,1000,33000
3,low,standard,34,1902.056827866248,22.001459,1869.0248263973626,36.410170793533325,1.736646402197205,1000,34000
3,low,standard,35,1853.3288602561183,21.631195,1823.5982625256274,36.56508016586304,1.604172814013284,1000,35000
3,low,standard,36,1902.3825423977328,22.444825,1862.769752172097,35.61918020248413,2.082272589387223,1000,36000
3,low,standard,37,1836.5561650655566,21.337673,1820.4455673095836,35.879342794418335,0.8772178092031249,1000,37000
3,low,standard,38,1873.6597775358111,21.695197,1865.8123720516242,35.89580798149109,0.4188276643536479,1000,38000
3,low,standard,39,1880.9146421255743,21.555833,1843.0617850519852,35.867558002471924,2.012470753633592,1000,39000
3,low,standard,40,1903.6892706164267,22.364081,1875.207037645531,35.62867784500122,1.49615976780039,1000,40000
3,low,standard,41,1865.7906353317496,21.982424,1840.8824422457617,35.630945920944214,1.3349940027734728,1000,41000
3,low,standard,42,1907.1926434583831,22.229505,1876.8724622149043,36.273451805114746,1.5897807359668774,1000,42000
3,low,standard,43,1952.2107703513443,22.444411,1916.247113610008,36.585278034210205,1.8422015331297368,1000,43000
3,low,standard,44,1836.2362768428507,21.572567,1806.2760448494316,35.6853449344635,1.6316109408823696,1000,44000
3,low,standard,45,1800.0354723807757,21.129717,1786.5373398717109,35.621432065963745,0.7498814726807478,1000,45000
3,low,standard,46,1967.1539443888698,22.587284,1920.8579277697065,35.82904291152954,2.35345163255873,1000,46000
3,low,standard,47,1920.5955425001425,22.688919,1884.089748783147,36.05143404006958,1.9007538499997811,1000,47000
3,low,standard,48,1836.1574999352808,21.62509,1808.2543814029507,35.46155095100403,1.519647335989078,1000,48000
3,low,standard,49,1959.1492161260196,22.514397,1902.7643259059685,35.807276010513306,2.8780293892848774,1000,49000
3,low,standard,50,1917.951575852314,22.232075,1884.6862918165473,36.34447121620178,1.7344173051388925,1000,50000
3,low,standard,51,1865.7622337179532,21.428153,1821.2083188435045,37.14651608467102,2.3879738837710858,1000,51000
3,low,standard,52,1860.3519438820722,21.363024,1836.5853665466248,35.70178008079529,1.2775312442146163,1000,52000
3,low,standard,53,1805.6184862539064,21.060323,1776.8005785701337,35.23241114616394,1.5960131059336307,1000,53000
3,low,standard,54,1855.5555012848838,21.883939,1842.6097148412018,35.78755187988281,0.6976771341367931,1000,54000
3,low,standard,55,1871.6986685085851,21.49506,1837.2366654878156,35.3060507774353,1.8412153409410554,1000,55000
3,low,standard,56,1964.610997891746,21.851347,1919.5585567253129,35.60735893249512,2.293199071713407,1000,56000
3,low,standard,57,1876.219547260291,21.640612,1859.2700582862674,36.01614189147949,0.9033851608024059,1000,57000
3,low,standard,58,1794.1117983560514,21.311286,1784.7127362524689,35.80746293067932,0.5238838578618634,1000,58000
3,low,standard,59,1930.0719594501174,22.470832,1886.3757357817826,36.50448703765869,2.26396862844347,1000,59000
3,low,standard,60,1861.0028784676238,21.185094,1831.6940065648644,36.11537218093872,1.574896645344941,1000,60000
3,low,standard,61,1887.7742323058596,21.56457,1865.3106382399408,36.16100716590881,1.1899513025177944,1000,61000
3,low,standard,62,1877.2821645172805,22.045481,1848.9544241796139,35.83381795883179,1.5089761610211008,1000,62000
3,low,standard,63,1894.7268740061281,21.8256,1861.0672948309982,36.07268404960632,1.7764871357929055,1000,63000
3,low,standard,64,1954.7409558855663,22.8676,1919.8055150441241,36.199273109436035,1.7872158833248164,1000,64000
3,low,standard,65,1858.2526645031323,21.923288,1833.4080032702486,36.19840693473816,1.3369904807604183,1000,65000
3,low,standard,66,1936.8128151228168,22.686336,1899.3621632046666,36.48566675186157,1.9336226828804532,1000,66000
3,low,standard,67,1877.2009398314674,21.854672,1846.4437825372754,36.882080078125,1.6384584431836755,1000,67000
3,low,standard,68,1881.8538563576728,22.175353,1843.5643638286422,35.70893216133118,2.0346687602585654,1000,68000
3,low,standard,69,1953.3152355382306,22.522746,1923.1622902837605,35.3704559803009,1.5436804416344763,1000,69000
3,low,standard,70,1931.989432446609,22.679276,1913.2833145595341,35.77642512321472,0.9682308594921298,1000,70000
3,low,standard,71,1871.7247216631395,21.406445,1837.647943512987,35.74261498451233,1.8206084343360702,1000,71000
3,low,standard,72,1876.096670372726,21.582053,1831.4161328092007,35.936338901519775,2.3815690454079133,1000,72000
3,low,standard,73,1847.3853239461037,21.721251,1819.0176030298458,35.73809790611267,1.5355605865517585,1000,73000
3,low,standard,74,1832.0103344021384,20.967571,1805.5778956876875,36.145431995391846,1.442810568155277,1000,74000
3,low,standard,75,1868.544876221949,21.753275,1846.2411626052262,36.37702512741089,1.1936407790119041,1000,75000
3,low,standard,76,1893.0454897221723,21.769224,1861.839559521429,35.93818712234497,1.648451152926238,1000,76000
3,low,standard,77,1900.2810655216058,21.851365,1853.6393511607082,35.547704219818115,2.4544639846787595,1000,77000
3,low,standard,78,1876.1358103644654,21.561087,1850.4654176646634,35.61957287788391,1.3682587666622716,1000,78000
3,low,standard,79,1900.565309937777,21.547134,1870.5267286229118,35.67296099662781,1.580507713036639,1000,79000
3,low,standard,80,1891.779423609423,21.873528,1862.6388052062607,35.89289212226868,1.5403814017367536,1000,80000
3,low,standard,81,1883.7271940824858,21.883548,1850.5577094825599,35.89447903633118,1.7608433272144748,1000,81000
3,low,standard,82,1840.67704615848,21.630434,1819.4016155087654,36.305196046829224,1.155848099160939,1000,82000
3,low,standard,83,1846.950370034385,21.683324,1810.5662205145024,36.693899154663086,1.969958159688137,1000,83000
3,low,standard,84,1859.9958631676259,21.666382,1819.1860268965106,35.99777793884277,2.19408209874268,1000,84000
3,low,standard,85,1907.039655557999,22.696373,1881.2555937042991,35.56032085418701,1.3520464442652276,1000,85000
3,low,standard,86,1829.7833000789406,21.587221,1787.2337845896177,35.97815489768982,2.3253854971507932,1000,86000
3,low,standard,87,1896.3528138171644,21.744018,1865.9771559781902,35.83201217651367,1.6017935912374357,1000,87000
3,low,standard,88,1888.605301818616,21.862122,1848.7409931751545,36.300848960876465,2.1107802993603024,1000,88000
3,low,standard,89,1847.0964256087293,21.499246,1826.3538038573977,36.137951135635376,1.122985322463373,1000,89000
3,low,standard,90,1910.2542142505813,22.79017,1863.4705573218414,36.571473836898804,2.449080158008905,1000,90000
3,low,standard,91,1801.4398147394659,22.098916,1778.2747159146975,36.58512091636658,1.2859213299956211,1000,91000
3,low,standard,92,1867.767087068309,21.683301,1841.8591332628769,35.15565800666809,1.3871083811685416,1000,92000
3,low,standard,93,1838.5188176875472,21.063375,1808.6072450874506,35.152907848358154,1.6269386156035552,1000,93000
3,low,standard,94,1908.1977168835067,21.832476,1894.6086261632302,35.98994588851929,0.712142698843096,1000,94000
3,low,standard,95,1888.6361812300772,21.811019,1841.3516496295026,35.80201864242554,2.503633683951664,1000,95000
3,low,standard,96,1954.9037677778842,22.458366,1897.054902206538,35.70176577568054,2.9591669178223765,1000,96000
3,low,standard,97,1911.4882089278835,22.689512,1869.6093838940415,35.50824809074402,2.1909015623659585,1000,97000
3,low,standard,98,1867.7477350604568,21.546517,1825.0956087657594,36.506736278533936,2.2836127970631313,1000,98000
3,low,standard,99,1914.0685576343901,22.25687,1885.3331130182166,36.60335612297058,1.5012756205393085,1000,99000
3,low,luxury,0,3491.379579298104,39.506842,3074.2019469890292,36.150397300720215,11.948790523456717,1000,0
3,low,luxury,1,3474.8983907372585,40.496891,3066.6399779803887,35.663289070129395,11.748787067993975,1000,1000
3,low,luxury,2,3622.033826654851,42.181528,3090.348318786226,35.90952110290527,14.679197746744013,1000,2000
3,low,luxury,3,3496.5831220994046,42.20643,3058.6427558320393,35.95245885848999,12.524809248762228,1000,3000
3,low,luxury,4,3445.7737340173735,39.316549,3056.7068358309334,35.636894941329956,11.291133087047857,1000,4000
3,low,luxury,5,3393.122168056304,38.579118,3051.328023733654,35.874366998672485,10.073145834252156,1000,5000
3,low,luxury,6,3593.348327575874,40.622904,3086.454319060588,36.56610298156738,14.106453433008651,1000,6000
3,low,luxury,7,3578.0329108124597,40.924126,3135.6408698620608,37.43608808517456,12.364113242601379,1000,7000
3,low,luxury,8,3491.0909783385005,41.18421,3068.9116782028627,36.026386976242065,12.093047782345783,1000,8000
3,low,luxury,9,3511.7248818143253,41.662997,3082.010939008347,35.61803317070007,12.23654919641562,1000,9000
3,low,luxury,10,3594.477339637762,44.222061,3118.0504036647544,35.91415190696716,13.254414785683972,1000,10000
3,low,luxury,11,3437.5877721592997,39.675292,3017.117951933054,35.60448503494263,12.231536999043087,1000,11000
3,low,luxury,12,3595.4684714090695,41.041531,3097.8973806619047,35.44509530067444,13.838838935838755,1000,12000
3,low,luxury,13,3554.081570330086,41.90162,3098.2645085808304,35.64167594909668,12.825171643624417,1000,13000
3,low,luxury,14,3459.951136502146,40.723448,3064.733935016847,36.368748903274536,11.42262378551523,1000,14000
3,low,luxury,15,3435.296033307609,38.848664,3049.6888594353604,36.64645719528198,11.224860103278319,1000,15000
3,low,luxury,16,3597.16803829089,41.820045,3112.5187079443367,36.08934497833252,13.473080078205712,1000,16000
3,low,luxury,17,3577.48066721362,43.506982,3075.554814553743,35.90419387817383,14.03014856963043,1000,17000
3,low,luxury,18,3396.6376878286624,39.396393,3039.2835410866473,35.91754913330078,10.520820281260482,1000,18000
3,low,luxury,19,3557.132268310669,39.725924,3064.85968090668,35.882216930389404,13.839029596663726,1000,19000
