property_type,capacity,T,N,replication,state_space_size,saa_time,saa_revenue,dp_time,dp_revenue
large,300,336,28,4,2287679245496100000000000000000000000000000000000000000000000000000000,473.17254662513733,12153.988640906735,,
large,300,336,84,0,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,991.8886399269104,12185.967024517106,,
large,300,336,84,1,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,996.4711790084839,12312.72995477831,,
large,300,336,84,2,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,993.7502439022064,12239.752673221237,,
large,300,336,84,3,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,990.3964600563049,12388.301285136158,,
large,300,336,84,4,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,984.8101150989532,12346.391725930163,,
resort_chain,600,168,28,0,614094221446481549721600000000000000000000000000000000000000000000000000000000,410.4991509914398,11862.265548732548,,
resort_chain,600,168,28,1,614094221446481549721600000000000000000000000000000000000000000000000000000000,412.3041470050812,11941.049463163894,,
resort_chain,600,168,28,2,614094221446481549721600000000000000000000000000000000000000000000000000000000,410.16078901290894,12077.67460771028,,
resort_chain,600,168,28,3,614094221446481549721600000000000000000000000000000000000000000000000000000000,410.9809639453888,12001.999789709344,,
resort_chain,600,168,28,4,614094221446481549721600000000000000000000000000000000000000000000000000000000,411.7030301094055,11789.49526254506,,
resort_chain,600,168,84,0,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,802.7540860176086,12293.8854283307,,
resort_chain,600,168,84,1,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,804.9782111644745,12367.188777593601,,
resort_chain,600,168,84,2,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,804.5268092155457,12540.546802794199,,
resort_chain,600,168,84,3,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,810.2773413658142,12371.370917335988,,
resort_chain,600,168,84,4,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,806.4495191574097,12219.466755918671,,
resort_chain,600,336,28,0,614094221446481549721600000000000000000000000000000000000000000000000000000000,471.33671498298645,12013.668787876537,,
resort_chain,600,336,28,1,614094221446481549721600000000000000000000000000000000000000000000000000000000,472.2919249534607,11927.9315041597,,
resort_chain,600,336,28,2,614094221446481549721600000000000000000000000000000000000000000000000000000000,475.62053394317627,11842.743368634949,,
resort_chain,600,336,28,3,614094221446481549721600000000000000000000000000000000000000000000000000000000,474.55318903923035,12155.897977376546,,
resort_chain,600,336,28,4,614094221446481549721600000000000000000000000000000000000000000000000000000000,474.8920679092407,12173.266169408558,,
resort_chain,600,336,84,0,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,983.7714560031891,12216.86962089626,,
resort_chain,600,336,84,1,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,983.0613250732422,12211.008553121996,,
resort_chain,600,336,84,2,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,980.7209091186523,12241.816978616127,,
resort_chain,600,336,84,3,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,977.9243230819702,12309.70830217712,,
resort_chain,600,336,84,4,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,979.2154409885406,12372.878478296432,,
